text,language,source,label
"Ukubhema kuphinde kwe nze kube nzima ukulawu la lesi sifo,” kusho yena. Amasu okuyeka ugwayi INhlangano Yesifo So mdlavuza eNingizimu Afrika (i-CANSA) sikunika la masu alandelayo uma ngabe uzama ukuyeka ukubhema: ●Nquma usuku ofuna ukuyeka ngalo ukubhema bese wenza kanjalo. ● Lahla kude zonke izinto ezikukhumbuza ukubhema. Lokhu kubandakanya amaphakethe kasikilidi, izitsha zomlotha, nome ntshisi.",zul,human,0
"I-Gauteng on the Move wu hlelo oluqeda ungabazane nokudideka okuhambisana nokusetshenziswa kwezithuthi zomphakathi, njengoba luni keza umphakathi imininingwa ne eqondile futhi esheshayo mayelana nezikhathi zokuha mba kwezithuthi zomphakathi kanye nezindleko ze-Gautrain, Metrobus, A Re Yeng, Rea Vaya, Metrorail, amabhasi e-Gautrain, amabhasi e-Johannesburg City Sightseeing, amabhasi kama sipala waseTshwane kanye namatekisi. Ekhuluma ngesikhathi kwe thulwa lolu hlelo-kusebenza emahhovisi abasunguli balo e-Midrand, u-MEC wezoku Thutha e-Gauteng u-Ismail Vadi uthe umnyango uyasibona isidingo sezobuchwepheshe no hlelo oluphusile kwezokuthutha oluzobamba iqhaza ekuthuthu kisweni kohlelo lwezokuthutha. “UHulumeni Wesifunda zwe sase-Gauteng unikele ngesikhathi, imizamo nezi nsiza ukuthuthukisa lolu hlelo lwezokuthutha olusiza umpha kathi ukwazi ukuxhumana kalula nezinhlobo zokuthu thwa komphakathi ezahlukene esifundazweni.”""Sesiqalile ukubona amandla ezobuchwepheshe eguqula isimo sezinsizakalo zokuthu thwa komphakathi. Akukho ukungabaza ukuthi ushintsho lwezobuchwepheshe emhlabe ni jikelele seluqalise uguquko olukhulukazi emkhakheni we zokuthutha, futhi nathi kumele siguquke ukuze sihambisane nalezi zinguquko,” kusho yena.",zul,human,0
"Emthethweni wakhe we-SoNA yangowezi ngo-2022, uMongameli uCyril Ramaphosa ugcizelele ukuthuthukiswa kwezinga lempilo kanye nemisebenzi yabantu. Lokhu kuzimisela kusekelwe oHlelo Lokwakhiwa Kabusha kanye Nokuvuselelwa Komnotho ukuze kuthuthukiswe isisekelo sezomnotho sesizwe. Inhloso enkulu wukubhekana nezinkinga zobumpofu ngokunikeza abantu amathuba amaningi okuziphilisa nokwakha isizwe esiqinile.",zul,machine,1
"BMW has committed to combating Gender-Based Violence (GBV) in South Africa through a strategic donation of vehicles. This handover was marked by the presence of President Cyril Ramaphosa and German Chancellor Angela Merkel, signifying strong international cooperation. The cars were donated to a South African organization dedicated to addressing health and violence. Such initiatives demonstrate how corporate partnerships can provide essential resources to fight social injustices.",eng,machine,1
"Abaholi bendabuko bamele izinsika zokuthula nokuhlanganisa imizimba nezinhliziyo zabantu emiphakathini yethu. Ukuhamba kwezikhulu ezinjengoNkosi u-Goodwill Zwelithini kanye no-Kgoshikgolo Thulare III kusikhumbuza kakhulu ukuthi lezi zikhundla zibaluleke kangakanani ekugcineni ubunye nokululama kwezizwe. Ngakho-ke, ukubuyisana nokuthula okuhlala njalo kuncike ekuholweni okuhlakaniphile okusekelwe emasikweni nasebuthuthweni. Laba baholi bangukhiye ekuxazululeni izingxabano nasekuletheni ukuthula okuhlala njalo emiphakathini yethu.",zul,machine,1
"Ngowezi-2012, amalungu omphakathi anike zwa amahekthare angama 23 500 asephinde engezwa nga mahekthare ayi-1 400 esiqiwi. “Sijabula kakhulu ngoba sigcine sikutholile lokho ebe sikufuna. Uhulumeni usixhase ngezimali ngokuphathelene nengqalasizinda. Sinezilwane zasendle ezihlanganisa amadube asentabeni ayi-10, izindlu zele eziyi-15 kanye nezimpofu eziyi-10,” kusho uNgesi, engeza nangokuthi kusazotholakala izinyathi kanye nezimpala maduze nje.",zul,human,0
"Ngivakashele eThekwini, KwaZulu-Natal, lapho ngihlangane nosomabhizinisi basendaweni ukuze ngibasize ezinhlelweni zabo zokuvuselela imisebenzi yabo. Lokhu kwenzeke emva komonakalo omkhulu owashiywa izikhukhula ezishaye leli dolobha, ezichitha izakhiwo nemisebenzi eminingi. Inhloso enkulu kulokhu ukwakha kabusha impilo nendlela yokuphila yomphakathi ukuze kubuyiswe ukuzinza nokuthuthuka. Lezi zinyathelo zibalulekile ekutheni umnotho waseThekwini uvuselelelwe futhi ube namandla futhi.",zul,machine,1
"Nakuba emaningi amanxusa amanzi azimisele asebenzayo ukusiza ukunqanda usuku lokuntuleka kwamanzi, idolobha licele izakhamuzi ukuba zidlale indima yazo ekongeni amanzi. “Sifuna bonke abasebenzisa amanzi bajoyine imizamo ye-Dolobha laseKapa,” ngokusho kwePhini likaSodolobha waseKapa u-Ian Neilson. Amasu okonga amanzi • Vala umpompi uma uxubha, ushefa noma ugcoba insipho ezandleni • Ngena eshaweni isikhashana futhi usebenzise amanzi amancane uma ugeza • Gwema ukusebenzisa amanzi athengwayo. Imoto • Washa imoto yakho ngebhakede nesiphontshi kuphela.",zul,human,0
"This topic focuses on the importance of providing support to businesses and their employees to ensure long-term sustainability. It acknowledges the profound emotional distress business owners face when enterprises they built from the ground up struggle or are forced to close. By implementing effective support systems, the goal is to help these businesses overcome operational challenges and avoid failure. Ultimately, this assistance serves to protect the livelihoods of both the entrepreneurs and their staff.",eng,machine,1
"Ngokomkha kha engiwukhethile, bengi ngeke ngikwazi ukukhokhela ngisho imali yokufunda izi nyanga eziyisithupha, ngi ngasakubali okonyaka owo dwa-ke nje lowo,” kuchaza yena. UMashego uphothule umatikuletsheni wakhe ngonyaka wezi-2016 futhi wabashaya bonke emakha nda abafundi ayefunda nabo ekilasini lakhe, kodwa wabe enganakho okungamusiza ukuthi akhokhele izifundo zakhe. Waye wafaka ngempu melelo isicelo soxhasomali luka-NSFAS ukuze axhaseke ngonyaka wokufunda wezi2018. “Lokhu kwanginika ithuba lokuba ngikwazi ukuthi ngenze amaphupho ami okufundela izifundo zobunjiniyela afezeke.",zul,human,0
"Intsha iyinhliziyo nekusasa lezwe lethu. Amandla abo nemibono emisha bakhuthaza intuthuko nokushintsha kwendlela yokusebenza emphakathini. Kubalulekile ukuba sibaqeqeshe futhi sibafundise ukuze bahole ngokuhlakanipha nokuzinikela. Ngakho-ke, abantu abasha bayingo muso negolide lezwe lethu elidinga ukunakekelwa.",zul,machine,1
"Izimo zomnotho zonyaka wezi-2020 zibukeka zizoba nzima ukwedlula ezowezi -2019, ngakho-ke kubalulekile ukuthi ubheke ngeso lokhozi futhi ucubungule isimo sakho sezimali. Ukuthola inkululeko kwezezimali kuyiphupho noma ubani angalifisa, kodwa-ke bayingcosana abantu abanolwazi ukuthi bangaqala kuphi. Ukwenza imikhutshana emihle yezezimali kuzokusiza ukuhlelela unyaka wakho omusha ube impumelelo.Ukuqinisekisa ukuthi uyazifeza izifiso zakho zezimali, ungasebenzisa indlela yokufeza izifiso nebizwa nge-SMART ukuze uqinisekise izinga olifisayo kwezezimali. Lokhu kuchaza ukuthi uhlela izifiso zakho ngendlela yokuthi: • Ziqonde ngqo (Specific)• Ziyalinganiseka (Measurable)• Ziyafezeka (Achievable)• Zifanelekile (Relevant)• Zingafezeka ngesikhathi (Time -bound)Ukwengeza kulokhu, kuba-lulekile ukuthi uhlele izimali zakho ngokucophelela.",zul,human,0
"Ukuqedwa komshado ngokomthetho kwenzeka lapho kusebenza khona ukuthi ayisekho nhlobo indlela efanelekile yokuvuselelwa kobudlelwane phakathi kwabashadile. Le nkqubo ihlinzekela ngokuhlukaniswa kwempahla ehlanganyelwe ngendlela efanele ukuze kube nokulungiseka phakathi kwabo. Ngaphezu kwalokho, kuqinisekisa ukuphoqelela imigomo okuvunyelwene ngayo yombili ohlangothini ukuze kuqedwe yonke imibango ngokomthetho.",zul,machine,1
"Go George is a public transport initiative designed to improve accessibility and empowerment for people with disabilities. By integrating inclusive features, the George Municipality has set a high benchmark for how public transportation systems should serve all members of the community. This approach demonstrates the vital role that local government plays in removing mobility barriers to ensure social inclusivity.",eng,machine,1
