text,language,source,label
"Experts are urging the public to manage their finances wisely during the festive season to avoid falling into unnecessary debt. Many individuals risk overspending during the Christmas holidays, which can lead to significant financial strain and long-term instability. By prioritizing mindful spending, consumers can protect their financial health and ensure a more secure start to the new year.",eng,machine,1
"The government continues to prioritize the prevention of corruption within its public services to ensure integrity and transparency. To support this effort, a National Anti-Corruption Hotline has been established to make reporting easier for the public. This initiative encourages community members to share information and report corrupt activities directly. By providing this accessible channel, the government aims to effectively combat corruption across all levels of administration.",eng,machine,1
"There have been arrests and those responsible will face the full might of the law. Much of the narrative around the events in Phoenix has been domina-ted by attempts to turn one race against another. It has been stoked by anonymous people on social media and in messaging groups making outrageous claims and calling for revenge.There is an attempt to present this as a sign of imploding race relations between African and Indian communities.Just as there were people who tried to exploit people’s vulnerability and cause mayhem, there are those who want to present criminal acts in racial terms to serve their own purposes.They will not succeed. South Africa has a proud history of principled non-racialism and working class solidarity.",eng,human,0
"In the other 40%, it can be caused by a head injury, injury during the birthing process, alcohol and drug abuse, aging or a metabolic or biochemical disturbance or imbalance. Dr Gumede says the signs and symptoms of epilepsy vary, and can present in various ways, including generalised absence seizures (petit mal), when a person looks blank and stares; generalised tonicclonic seizures (grand mal), which commonly start with body stiffening, before the person falls down and has jerking movements; and complex partial seizures, which affect a part of the brain. A petit mal seizure only lasts a few seconds, and the person may be unaware that they had one. During a grand mal seizure, the person may have a blue colour around their mouth, which fades when normal breathing resumes.",eng,human,0
"Our ambitions should match the size of our challenges. With the progress we are making at the Durban Port, with the reinvigorated skills and capabilities that we have in Transnet, we now have the wind in our sails. And we are moving at a rate of knots towards our destination.",eng,human,0
"Through the introduction of these Bills, we are honouring the promise we made to the protestors last year and to all the women of this country.The three amendment Bills are designed to fill the gaps that allow some perpetrators of these crimes to evade justice and to give full effect to the rights of our country’s women and children.These Bills, once finalised, will help to restore the confi-dence of our country’s wom-en that the law is indeed there to protect them. The first is the Bill to amend the Criminal Law (Sexual Of-fences and Related Matters) Amendment Act. This creates a new offence of sexual intim-idation, extends the ambit of the offence of incest, and extends the reporting duty of persons who suspect a sexual offence has been committed against a child.It expands the scope of the National Register for Sex Offenders (NRSO) to include the particulars of all sex offenders. Until now, it has only applied to sex offend-ers convicted of sex crimes perpetrated against children or persons with mental disa-bilities.",eng,human,0
"The focus has been on job creation in sectors with direct social impact such as education, food security, public infrastructure maintenance and environmental protection.Through this Presidential Employment Stimulus young people were employed to support and assist teachers in our schools. Others were employed to build bridges in rural communities. Many Early Childhood Development Centres were helped to survive and reopen. Subsistence farmers were supported to expand production, and environ-mental assets such as rivers and wetlands were restored and maintained.As part of phase two, we are establishing a Social Employment Fund that will support work for the common good led by community organisations in areas as diverse as urban agriculture, public art, informal settlement upgrading and community safety.In the midst of the severe economic setback caused by the Coronavirus Disease pandemic, public and social employment has provided an important stimulus to job creation.",eng,human,0
"Health Minister Dr. Joe Phaahla has reported a significant surge in COVID-19 cases in South Africa. As of August 25th, new infections have increased by 137% compared to the previous seven-day period. Consequently, the public is being urged to take necessary precautions to protect themselves ahead of the winter season.",eng,machine,1
"Operation Vulindlela is paving the way for increased economic growth in South Africa by addressing long-standing structural barriers. For years, systemic issues within key sectors have hindered the country's economic expansion. Specifically, a lack of necessary skills and the high cost of network services have been identified as primary obstacles. This initiative aims to remove these bottlenecks to stimulate sustainable national development.",eng,machine,1
"South Africa recognizes the education of its youth as a critical national obligation. Minister Pandor emphasized that the state has a duty to support poor and vulnerable families to ensure that all children have access to learning opportunities. During a recent press conference, the Minister outlined plans to introduce educational initiatives aimed at bridging these socioeconomic gaps. Such measures are essential for empowering the next generation and reducing systemic poverty across the country.",eng,machine,1
"Its effects will be felt for many years to come. But, working together, we have started to put things right. We have started to rebuild and restore.We can expect that the outcomes of the Zondo Commission will immeasurably strengthen these efforts. They will give us an opportunity to make a decisive and lasting break with the state capture era.Much work lies ahead, and many challenges must still be confronted.",eng,human,0
"Dr. Sibongiseni Dhlomo, the Head of Health, has reaffirmed that safe and legal abortions are available to all women free of charge. He clarified that, under the law, every woman has the right to access these services without any financial burden. According to Dr. Dhlomo, these procedures can be obtained at any hospital or recognized health facility.",eng,machine,1
"• Specific • Measurable • Achievable • Relevant • Time-bound. In addition, it is important that you plan your finances carefully. Here are some tips to help you along:Set your financial goals Reflect on your financial discipline in 2019 and set new goals for 2020. Settle your debts Put any spare funds or bonuses and salary increases towards eliminating debt, as paying off debt quicker could save you a significant amount of interest.Adjust your budget as needed As you track your spending habits, make necessary adjustments to your budget, increase your savings and decrease your spend ing.",eng,human,0
"The local economy is facing a severe crisis as numerous businesses report staggering losses following prolonged operational restrictions. This downturn has hit the workforce hardest, with many employees facing drastic pay cuts or total job losses. To combat this, urgent revitalization strategies are now necessary to restore financial stability and stimulate growth. Implementing targeted stimulus packages and job creation initiatives will be critical in helping both enterprises and workers recover.",eng,machine,1
"We have seen people being attacked, hurt and even killed because of how they looked or because they have a particular accent. This was how the apartheid oppressors operated. They said some people could only live in certain areas, operate certain businesses or take certain jobs. Under apartheid, black people were deemed suspects by default and stopped by police when found in so-called white areas.",eng,human,0
