text,language,source,label
"Umjondolo uguqulwe waba yispa esisezingeni eliphezulu eBo Tshabelo, eFreyistata. Leli bhizinisi elibizwa ngokuthi iVictory Body and Nail Studio, likhula ngamandla futhi linikeza izinsizakalo zokunakekela imizimba kanye nokucwalwa. Ngenxa yalokhu, ispa liheha abantu abaqhamuka ezindaweni ezahlukene abafuna ukuzitholela ukunakekelwa okusezingeni eliphezulu.",zul,machine,1
"Umbiko wekota yokugcina yonyaka we-2017 ukhombisa inqubekela phambili emangalisayo ekulweni nobuzingela bobhejane. Kukhona ukwenyuka okubonakalayo enanini labantu ababoshiwe kanye neziphenyo ezithuthukile ezibhekiswe kulabo abadayisa izimpondo zobhejane. Lokhu kuholele ekutheni abazingela abaningi bagwetshwe imithetho eqinile, okuyisinyathelo esibalulekile ekusindiseni obhejane bakithi.",zul,machine,1
"Emva kokuhlolwa kwe simo sendawo sesine mvume yokufuya izinkukhu zamaqanda eziyizi-120 000 ngakho-ke kudingeka imali ukuze kunwe tshwe ibhizinisi,” kusho yena Uhlelo Olukhulu Lo kufuywa Kwezinkukhu UMhlabane uye wathola usizo ukuthi abe ngumli mi ophumeleleyo. Ongo munye wabalimi abaningi abasafufusa abazuza Ohlelweni Olukhulu Loku fuywa kwezinkukhu, olwasungulwa ngu hulumeni kanye naba -bambiqhaza bemboni, ababandakanya aba khiqizi bokufuywa kwe zinkukhu, abalimi, abe nza imikhiqizo, abathume la izimpahla kwamanye amazwe, abangenisa izi mpahla ezweni lakithi kanye nabezemisebenzi ehlelekile. Lolu hlelo lwasayinwa ngowezi-2019, kanti kuhloswe ngalo ukukhulisa amathu ba emisebenzi ngezinyathe lo eziningi ezizokwethu lwa ngokusemthethweni eminyakeni embalwa ezayo. Lokhu kube ngumphumela wohlelo lokuthi iNhlangano Yokufuywa Kwezinkukhu YaseNingizimu Afrika (i-SA PA) yakhokhela imvume kaMhlabane yokusebenzisa amanzi futhi yamusiza ngo kumqeqesha ngokukhiqizwa kwamaqanda.",zul,human,0
"Ukundizisa iflegi Uma iflegi limiswa liqondane nodonga, indawo ebomvu kumele ibe kwesokunxele solibukayo bese umphetho wentambo ube ngaphezulu. Uma limiswe lavundla, umphetho wentambo kumele ube kwesokunxele solibukayo bese u mbala obomvu uba phezulu. Uma iflegi libekwe eduze noma ngemva kwesikhulumi emhla nganweni, kumele libe kwesokudla sesikhulumi. Uma libekwe kwenye indawo endaweni okuhlanganye lwe kuyo kumele libekwe kwe sokudla sezethameli.",zul,human,0
"Isikhathi sokufaka izicelo zoxhaso lwe-NSFAS ususondele kakhulu. Lolu hlobo loxhaso lulungele intsha eseyiqedile ukufunda noma esavele ifunda kulezo zikhungo zemfundo ephakeme. Lo msebenzi ukhokhelwa uMnyango Wezemfundo Ephakeme Nokuqeqeshwa ukuze kukhuthazwe ukufunda kwentsha. Ngakho-ke, kubalulekile ukuthi abafundi balungiselele imininingwane yabo ukuze bangaphuthelwa yithuba lokuthola lolu xhaso.",zul,machine,1
"UMnyango Wezempilo waseNtshonalanga Kapa ukhumbuza abantu ukuthi baphuze amanzi amaningi ukuze zigwenywe izinkinga zempilo. Lokhu kubalulekile ngenxa yokushisa kwasehlobo okukhulisa ubungozi bokuphelelwa ngamanzi emzimbeni. Ukuphelelwa ngamanzi kungaba nobungozi obukhulu, ngakho-ke kucelwa ukuba abantu baqaphele kakhulu ngokugcina imizimba yabo ihleliwe ngamanzi ngalesi sikhathi.",zul,machine,1
"UNomagcinandile Suduka, oneminyaka engama-27, ungumlimi osemusha okhulisa ifa lomndeni wakhe ngokutshala izimali zakhe kwezolimo. Ungumnikazi we-4 U and 4 Me Primary Cooperative esigodini sase-Mooiplaas, lapho azama khona ukwakha umcebo ngokusebenza kanzima. Njengamanje, uSuduka uthole uxhaso lwe-COVID-19 oluzomsiza ekuthuthukiseni imisebenzi yakhe nokulwa nobunzima obulethwe yile nkulungwane. Lokhu kuxhaso kuzovula amathuba amaningi okukhulisa imikhiqizo yakhe nokondla umphakathi wasendaweni.",zul,machine,1
"I-CACH iyinsiza yezobuchwepheshe ephathwa uMnyango Wezemfundo Ephakeme kanye Nokuqeqeshwa (i-DHET) ehloselwe ukuxhumanisa abafundi namathuba okufunda. Lolu hlelo lusebenza njengohlobo lwebhuloho olusiza labo bafundi abafuna izikhala zokungena emanyuvesi nasemakolishi emva kokuba sebevaleleke. Ngale ndlela, i-CACH iqinisekisa ukuthi intsha ethanda ukufunda ithola ithuba lokuqeqeshwa nokwakha ikusasa eliqhakazile.",zul,machine,1
"Isikhulu Esiphezulu (i-CEO) Esiyibamba se-MISA uNta ndazo Vimba uthe ihhovisi lakhe liyaqonda ukuthi iNi ngizimu Afrika idinga kakhu lu abantu abanamakhono obunjiniyela nezokwakha. “Asifuni abantu abasha abaneziqu kule mikhakha kuphela, kodwa kumele siqinisekise ukuthi baqeqe shwe ngendlela esezingeni lomhlaba futhi bangochwe pheshe ababhalisiwe,” kusho uVimba. ""Omasipala bethu baba dinga kakhulu ochwepheshe. Sinomthwalo omkhulu wo kwenza uhulumeni wase khaya ube nochwepheshe, ngokusebenzisa izinhlelo zethu zokuvukuza ama khono,"" esho engezela.",zul,human,0
Usuku Lomhlaba Lwabahlengikazi ugubha mhla ziyi-12 kuNhlaba. Lolu lusuku luyithuba elihle lokubonga abahlengikazi ngokuzikhandla kwabo ekunakekeleni nokusiza abantu bakithi. Sibonga ukuzinikela kwabo nokubekezela kwabo ekunikezeni usizo lwezempilo olubalulekile emiphakathini yethu. Umsebenzi wabo ubaluleke kakhulu ekwakheni isizwe esiphilile.,zul,machine,1
"Imicabango nemikhuleko yethu ikule mindeni ebhekene nobunzima bokwamukela lesi sigameko esinyantisa umzimba esingachazeki. Siyawuncoma uhulumeni wesifundazwe saseMpumalanga Kapa ngokusiza imindeni esemanzini, kanye no-AVBOB ngokwethembisa ukusiza imindeni ngemingcwabo. Nakuba iziphathimandla ezifanelekile zizama ukuthola ulwazi kanye nokuqonda okwenzeka ukuze kuqinisekiswe ukuthi abagilwa bathola ubulungiswa, kunengxoxo okumele sihlale phezu kwayo njengezwe. Inkinga yokuphuza utshwala kwezingane ezisencane ezingakavumeleki ukuphuza utshwala.",zul,human,0
"Sidinga omakadebona bezintatheli bakithi, aba zoletha isipiliyoni kanye nezikhumbuzo zabezindaba, futhi abazokwazi ukuletha imibiko ebucayi nenolwazi. Ngaso leso sikhathi sidinga izintatheli eziningi ezisenca ne ezazi ezobuchwepheshe, ezihambisana nezindlela ezintsha zokuxoxa izindaba futhi ezixhumene nezinkinga ezibhekene nentsha. Njengomphakathi kumele seseke ngokuphelele abezindaba. Noma ngabe kumele sikhethe ukuthi si khokhele okuqukethwe izindaba, ukusekela izinta theli ezixhaswe ngeminikelo yomphakathi, ukukhokhela amalayisensi akwa-SABC noma nje ngokuthenga iphe phandaba, sonke singadlala indima yethu ukwesekela le mboni esenkingeni.",zul,human,0
"Ukusebenzisa izindlela ezintsha nezobuchwepheshe ukulwa nenkohlakalo kusiza ekubambeni abenzi bobubi ngokushesha. Uma kukhona ukubheka ngeso eliqinile nangokusebenzisa ukusebenzisana, imithombo yezimali ziyaqala ukufika kubantu ngendlela efanele. Lokhu kuholela ekutheni imisebenzi yezokwakha isizwe ithele izithelo ezinhle, kanti nentokozo nokwethenjwa kukahulumeni kuyakhula.",zul,machine,1
"Ngesikhathi umdlwenguli owayehlome ngesikhali etshela lo mfanyana ukuthi akalale phansi futhi angabuki, usakuzwa na manje ukukhala kukadadewabo. Ngemva kokudlwengula, le ndoda yatshela uTshepo noda dewabo ukuthi bagijime futhi bangabheki emuva. Ngesikhathi bethatha uhambo olubuhlungu lokulibangisa ekhaya, udadewa bo wamenza wathembisa ukuthi ngeke atshele muntu mayelana nokudlwengulwa. UTshepo wenza njengalokho ethembisile kodwa le mfihlo yamenza waba muncu.",zul,human,0
"Aba ntwana badinga ukusonde lana nomama babo. Ukulala egumbini elilodwa komama nabantwana kuyakukhuthaza lokhu. Uma umntwana wakho elambile, omiwe noma ethukuthele, ukuncela ibele kuyabenelisa. Akujwayelekile ukuthi ungancelisa u mntwana wakho ngokweqile uma umncelisa ibele kuphela.",zul,human,0
