experiment,model,token,avg_weight,direction
zul,afro-xlmr-base,Enye,0.2546,Machine
zul,afro-xlmr-base,Ngakho,0.2497,Machine
zul,afro-xlmr-base,siphele,0.2483,Machine
zul,afro-xlmr-base,19,0.2043,Machine
zul,afro-xlmr-base,Lokhu,0.2039,Machine
zul,afro-xlmr-base,nezingaqinisekisiwe,0.195,Machine
zul,afro-xlmr-base,5,0.193,Machine
zul,afro-xlmr-base,ke,0.1901,Machine
zul,afro-xlmr-base,usizo,0.1887,Machine
zul,afro-xlmr-base,Lezi,0.1882,Machine
zul,afro-xlmr-base,emphakathini,0.1819,Machine
zul,afro-xlmr-base,emide,0.1733,Machine
cross,afro-xlmr-base,Ngakho,0.2434,Machine
cross,afro-xlmr-base,Inhloso,0.1897,Machine
cross,afro-xlmr-base,izinselelo,0.1794,Machine
cross,afro-xlmr-base,siphele,0.1784,Machine
cross,afro-xlmr-base,emphakathini,0.1733,Machine
cross,afro-xlmr-base,Manje,0.17,Machine
cross,afro-xlmr-base,Nakuba,0.1588,Machine
cross,afro-xlmr-base,5,0.149,Machine
cross,afro-xlmr-base,kuzokwenzeka,0.1486,Machine
cross,afro-xlmr-base,efanele,0.1454,Machine
cross,afro-xlmr-base,zilokhu,0.1304,Machine
cross,afro-xlmr-base,ezayo,0.1297,Machine
