experiment,model,token,avg_weight,direction
zul,xlm-roberta-base,ASIDI,0.2334,Machine
zul,xlm-roberta-base,okuhloselwe,0.1994,Machine
zul,xlm-roberta-base,ukuba,0.1954,Machine
zul,xlm-roberta-base,nezifo,0.1643,Machine
zul,xlm-roberta-base,ke,0.1549,Machine
zul,xlm-roberta-base,Kusalimile,0.1423,Machine
zul,xlm-roberta-base,Lokhu,0.1393,Machine
zul,xlm-roberta-base,kubalulekile,0.1371,Machine
zul,xlm-roberta-base,eMpumalanga,0.1335,Machine
zul,xlm-roberta-base,Kubalulekile,0.126,Machine
zul,xlm-roberta-base,emsebenzini,0.1198,Machine
zul,xlm-roberta-base,uthole,0.1178,Machine
eng,xlm-roberta-base,crucial,0.2432,Machine
eng,xlm-roberta-base,determination,0.2423,Machine
eng,xlm-roberta-base,profession,0.2415,Machine
eng,xlm-roberta-base,decisive,0.224,Machine
eng,xlm-roberta-base,uterus,0.2126,Machine
eng,xlm-roberta-base,By,0.2111,Machine
eng,xlm-roberta-base,significant,0.2093,Machine
eng,xlm-roberta-base,survival,0.2029,Machine
eng,xlm-roberta-base,follows,0.1981,Machine
eng,xlm-roberta-base,Dr,0.1918,Machine
eng,xlm-roberta-base,bleeding,0.1916,Machine
eng,xlm-roberta-base,signal,0.1874,Machine
combined,xlm-roberta-base,Ngokusebenzisana,0.3587,Machine
combined,xlm-roberta-base,practice,0.2466,Machine
combined,xlm-roberta-base,resources,0.2413,Machine
combined,xlm-roberta-base,Ngakho,0.228,Machine
combined,xlm-roberta-base,sectors,0.2232,Machine
combined,xlm-roberta-base,Ultimately,0.2186,Machine
combined,xlm-roberta-base,years,0.2063,Machine
combined,xlm-roberta-base,seeks,0.2062,Machine
combined,xlm-roberta-base,2018,0.1937,Machine
combined,xlm-roberta-base,yakho,0.1933,Machine
combined,xlm-roberta-base,Lo,0.1902,Machine
combined,xlm-roberta-base,ngobuhlakani,0.1813,Machine
cross,xlm-roberta-base,Kubalulekile,0.0301,Machine
cross,xlm-roberta-base,ngamanani,-0.0282,Human
cross,xlm-roberta-base,ezitholakala,0.0278,Machine
cross,xlm-roberta-base,izindleko,0.0262,Machine
cross,xlm-roberta-base,ikwazi,-0.0247,Human
cross,xlm-roberta-base,ungakwazi,0.0243,Machine
cross,xlm-roberta-base,lokuphila,0.023,Machine
cross,xlm-roberta-base,intengo,-0.016,Human
cross,xlm-roberta-base,emalini,-0.0145,Human
cross,xlm-roberta-base,kusiza,-0.0132,Human
cross,xlm-roberta-base,anemalingeniso,-0.0108,Human
cross,xlm-roberta-base,alishintshi,-0.0103,Human
